"";"geo";"unit";"time";"PKB";"GEO";"Region";"Kraj";"dl"
"90";"AT111";"MIO_EUR";2006;704;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"91";"AT111";"MIO_EUR";2009;723;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"92";"AT111";"MIO_EUR";2001;619;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"93";"AT111";"MIO_EUR";2014;846;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"94";"AT111";"MIO_EUR";2000;590;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"95";"AT111";"MIO_EUR";2007;726;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"96";"AT111";"MIO_EUR";2005;658;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"97";"AT111";"MIO_EUR";2008;714;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"98";"AT111";"MIO_EUR";2011;766;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"99";"AT111";"MIO_EUR";2003;664;"AT111 - Mittelburgenland";"Mittelburgenland";"AT";5
"100";"AT112";"MIO_EUR";2002;2825;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"101";"AT112";"MIO_EUR";2011;3975;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"102";"AT112";"MIO_EUR";2000;2620;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"103";"AT112";"MIO_EUR";2004;3195;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"104";"AT112";"MIO_EUR";2013;4398;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"105";"AT112";"MIO_EUR";2012;4260;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"106";"AT112";"MIO_EUR";2008;3644;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"107";"AT112";"MIO_EUR";2006;3363;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"108";"AT112";"MIO_EUR";2009;3650;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"109";"AT112";"MIO_EUR";2007;3549;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"110";"AT112";"MIO_EUR";2003;2910;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
"111";"AT112";"MIO_EUR";2001;2688;"AT112 - Nordburgenland";"Nordburgenland";"AT";5
